CAMIS,DBA,BORO,ADDRESS,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,INSPECTION TYPE,
50042084,FIVE LOAVES AND TWO FISHES,Queens,"8272 BROADWAY, 11373",Chinese,4/24/19,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,25,B,4/24/19,Cycle Inspection / Re-inspection,
41122841,LANDMARK TAVERN,Manhattan,"626 11 AVENUE, 10036",Irish,4/17/18,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,22,B,,Cycle Inspection / Initial Inspection,
40397625,LA VILLA PIZZERIA,Brooklyn,"6610 AVENUE U, 11234",Pizza/Italian,5/25/19,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,6,A,5/25/19,Cycle Inspection / Initial Inspection,
41698592,TORIBIO RESTAURANT,Brooklyn,"3169 FULTON STREET, 11208",Spanish,4/11/19,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,A,4/11/19,Cycle Inspection / Initial Inspection,
40948723,PAQUITO'S,Manhattan,"143 1 AVENUE, 10003",Mexican,3/14/19,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Y,43,C,,Cycle Inspection / Initial Inspection,
41714881,PATRIZIA'S OF WOODLAWN,Bronx,"4358 KATONAH AVE, 10470",Italian,5/5/18,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,12,A,5/5/18,Cycle Inspection / Re-inspection,
50065377,DEJA VU,Queens,"3322 28TH AVE, 11103",Mediterranean,2/6/18,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,19,B,,Pre-permit (Operational) / Initial Inspection,
50059293,CLASSIC PIZZA,Staten Island,"3201B RICHMOND ROAD, 10306",Pizza/Italian,4/5/18,02B,Hot food item not held at or above 140º F.,Y,7,A,4/5/18,Cycle Inspection / Initial Inspection,
50012217,ARMANDO'S PIZZA,Brooklyn,"1717 BROADWAY, 11207",Pizza,10/4/17,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,28,C,,Cycle Inspection / Initial Inspection,
50000695,JOE'S SHANGHAI RESTAURANT,Queens,"13621 37TH AVE, 11354",Chinese,9/26/19,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,32,C,9/26/19,Cycle Inspection / Re-inspection,
50051372,CARNEGIE CUP CAFE,Manhattan,"1080 PARK AVE, 10128",Café/Coffee/Tea,8/27/19,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,19,B,,Cycle Inspection / Initial Inspection,
41257059,PANADERIA LA MIXTECA POBLANA & DELI,Staten Island,"104 VICTORY BOULEVARD, 10301",Mexican,2/1/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,10,A,2/1/18,Cycle Inspection / Initial Inspection,
41415498,LOT 2,Brooklyn,"687 6 AVENUE, 11215",American,2/28/18,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,12,A,2/28/18,Cycle Inspection / Initial Inspection,
50008202,BARCADE,Manhattan,"148 W 24TH ST, 10011",American,5/9/19,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,50,C,,Cycle Inspection / Initial Inspection,
50051534,SPACIOUS/SUNFLOWER AMERICAN CAPITAL,Manhattan,"30 W 53RD ST, 10019",American,5/15/18,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,12,A,5/15/18,Cycle Inspection / Initial Inspection,
50054726,W & Y BAKERY,Brooklyn,"1703 AVENUE U, 11229",Bakery,8/24/17,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,9,A,8/24/17,Cycle Inspection / Initial Inspection,
50035353,LA PECORA BIANCA,Manhattan,"1133 BROADWAY, 10010",Italian,11/27/17,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,N,11,A,11/27/17,Cycle Inspection / Initial Inspection,
50071329,BROOKLYN SHAWARMA,Brooklyn,"1001 FULTON ST, 11238",Middle Eastern,7/25/19,04A,Food Protection Certificate not held by supervisor of food operations.,Y,43,C,,Cycle Inspection / Re-inspection,
41436524,THE BREUKELEN COFFEE HOUSE,Brooklyn,"764 FRANKLIN AVENUE, 11238",Café/Coffee/Tea,5/14/19,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,14,B,,Cycle Inspection / Initial Inspection,
50093370,PIZZA BOSS,Staten Island,"1307 ARTHUR KILL RD, 10312",Pizza,8/20/19,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,13,A,8/20/19,Pre-permit (Operational) / Re-inspection,
41313271,GOLDEN PUNJAB INDIAN RESTAURANT,Queens,"13002 101 AVENUE, 11419",Indian,3/7/19,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,24,B,,Cycle Inspection / Initial Inspection,
41156699,WOOLWORTH TOWER KITCHEN/THE WOOLY PUBLIC,Manhattan,"233 BROADWAY, 10279",American,1/26/18,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,7,A,1/26/18,Cycle Inspection / Re-inspection,
50088665,HALAL MUNCHIES,Queens,"2535 STEINWAY ST, 11103",American,4/10/19,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Y,43,C,,Pre-permit (Operational) / Initial Inspection,
50088555,FOREST HILLS INDIAN CUISINE,Queens,"7151 YELLOWSTONE BLVD, 11375",Indian,10/2/19,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,44,C,,Cycle Inspection / Initial Inspection,
41627949,ALGONQUIN HOTEL/BLUE BAR,Manhattan,"59 WEST   44 STREET, 10036",American,11/20/19,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,43,C,11/20/19,Cycle Inspection / Re-inspection,
50075722,THE POINTS WINE & ALE ROOM,Manhattan,"76 FORSYTH ST, 10002",American,4/19/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,79,C,,Pre-permit (Non-operational) / Initial Inspection,
50095252,Nuan Xin Rice Roll,Manhattan,"97 ELIZABETH ST, 10013",Chinese,10/9/19,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,36,C,,Cycle Inspection / Initial Inspection,
50069819,FATIMA HALAL KITCHEN,Queens,"2525 BROADWAY, 11106",Chinese,2/3/20,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,29,C,,Cycle Inspection / Initial Inspection,
41339289,THE GOOD FORK,Brooklyn,"391 VAN BRUNT STREET, 11231",American,12/7/19,02B,Hot food item not held at or above 140º F.,Y,41,Z,12/7/19,Cycle Inspection / Re-inspection,
50089721,ASIAN CHEF,Queens,"2904 172ND ST, 11358",Chinese,4/22/19,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,30,C,,Pre-permit (Operational) / Initial Inspection,
50013400,SAHARA NEW YORK,Queens,"2562 STEINWAY ST, 11103",Café/Coffee/Tea,1/24/19,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,8,A,1/24/19,Cycle Inspection / Re-inspection,
50095392,HOPE TO SEE YOU,Queens,"13342 39TH AVE, 11354",Chinese,1/2/20,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,A,1/2/20,Pre-permit (Operational) / Initial Inspection,
40791157,LA PIAZZA PIZZERIA & RESTAURANT,Staten Island,"1445 RICHMOND AVENUE, 10314",Pizza,7/9/19,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,38,C,,Cycle Inspection / Initial Inspection,
50033801,BABBALUCCI'S,Manhattan,"331 LENOX AVE, 10027",Italian,12/11/18,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,33,C,,Cycle Inspection / Initial Inspection,
50011721,TANG'S GARDEN,Manhattan,"1328 3RD AVE, 10021",Chinese,6/21/18,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,22,B,,Cycle Inspection / Initial Inspection,
40545130,SPEEDY'S DELI,Manhattan,"1271 BROADWAY, 10001",American,11/9/16,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,13,A,11/9/16,Cycle Inspection / Re-inspection,
41645430,LITTLE ZELDA,Brooklyn,"728 FRANKLIN AVENUE, 11238",Café/Coffee/Tea,5/18/18,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,9,A,5/18/18,Cycle Inspection / Initial Inspection,
50045872,PINA DULCE RESTAURANT,Brooklyn,"914 39TH ST, 11219",Spanish,2/13/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,5,A,2/13/17,Cycle Inspection / Initial Inspection,
50042803,GREGORYS COFFEE,Manhattan,"356 7TH AVE, 10001",Café/Coffee/Tea,10/16/19,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,15,B,10/16/19,Cycle Inspection / Re-inspection,
50044153,KOSAKA,Manhattan,"220 W 13TH ST, 10011",Japanese,9/13/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,7,A,9/13/17,Cycle Inspection / Initial Inspection,
50056653,MUSCLE MAKER GRILL,Manhattan,"70 7TH AVE, 10011",American,1/30/19,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Y,44,C,,Cycle Inspection / Initial Inspection,
41595907,RAVEN'S HEAD PUBLIC HOUSE,Queens,"3804 BROADWAY, 11103",American,1/10/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,10,A,1/10/17,Cycle Inspection / Initial Inspection,
41531279,GREENPOINT LOUNGE,Queens,"4322 GREENPOINT AVENUE, 11104",Irish,11/22/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,7,A,11/22/17,Cycle Inspection / Initial Inspection,
50100230,WANG JIANG,Brooklyn,"6920 18TH AVE, 11204",Chinese,12/12/19,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,18,B,12/12/19,Pre-permit (Operational) / Re-inspection,
40385873,RAY'S PIZZA,Manhattan,"829-831 7 AVENUE, 10019",Pizza,3/6/19,22G,,,13,A,3/6/19,Cycle Inspection / Initial Inspection,
50015805,KINGS THEATRE,Brooklyn,"1027 FLATBUSH AVE, 11226",American,9/29/17,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,32,C,,Cycle Inspection / Initial Inspection,
50072111,MIS ANTOJOS COFFEE SHOP,Queens,"5406 ROOSEVELT AVE, 11377",Spanish,1/17/19,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Y,23,B,,Cycle Inspection / Initial Inspection,
41493180,ARTICHOKE BASILLE'S PIZZA & BAR,Manhattan,"457 WEST   17 STREET, 10011",Pizza/Italian,1/10/17,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",N,30,C,,Cycle Inspection / Initial Inspection,
50009767,A PLUS THAI PLACE,Manhattan,"1007 2ND AVE, 10022",Thai,1/13/20,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,17,B,,Cycle Inspection / Initial Inspection,
50088555,FOREST HILLS INDIAN CUISINE,Queens,"7151 YELLOWSTONE BLVD, 11375",Indian,5/15/19,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,12,A,5/15/19,Pre-permit (Operational) / Re-inspection,
41719692,GOOD FELLAS PIZZA,Queens,"2519 40 AVENUE, 11101",Pizza,8/30/18,02B,Hot food item not held at or above 140º F.,Y,8,A,8/30/18,Cycle Inspection / Initial Inspection,
40386067,COUNTRY DONUTS,Staten Island,"4357 AMBOY ROAD, 10312",Donuts,12/19/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,25,B,,Cycle Inspection / Initial Inspection,
50059197,ARCHDIOCESES OF NY,Manhattan,"1011 1ST AVE, 10022",American,3/2/17,10J,"""""Wash hands” sign not posted at hand wash facility.",N,13,A,3/2/17,Pre-permit (Operational) / Initial Inspection,
50071378,FRAGOLE ITALIAN RESTAURANT,Brooklyn,"394 COURT ST, 11231",Italian,12/10/19,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,11,A,,Cycle Inspection / Initial Inspection,
50083454,SUBWAY,Staten Island,"4348 AMBOY RD, 10312",Sandwiches,10/30/19,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,18,B,,Cycle Inspection / Initial Inspection,
50011908,BUDDHA BODAI ONE VEGETARIAN RESTAURANT,Manhattan,"5 MOTT ST, 10013",Vegetarian,11/13/19,02B,Hot food item not held at or above 140º F.,Y,54,C,11/13/19,Cycle Inspection / Re-inspection,
41019083,PEPPINO'S,Brooklyn,"7708 3 AVENUE, 11209",Pizza,6/2/16,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,21,B,,Cycle Inspection / Initial Inspection,
50072138,HUI'S GARDEN,Queens,"4108 COLLEGE POINT BLVD, 11355",Chinese,10/11/18,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,36,C,,Cycle Inspection / Initial Inspection,
41151982,ANTONUCCI,Manhattan,"168-170 EAST 81 STREET, 10028",Italian,2/27/19,02B,Hot food item not held at or above 140º F.,Y,18,B,,Cycle Inspection / Initial Inspection,
50071155,NEW TASTE OF CHINA NY,Queens,"8026 BAXTER AVE, 11373",Chinese,2/5/20,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,33,C,,Cycle Inspection / Initial Inspection,
41597953,WOLF AND DEER BROOKLYN,Brooklyn,"74 5 AVENUE, 11217",American,2/18/17,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,22,B,,Cycle Inspection / Initial Inspection,
41467424,SINGAS FAMOUS PIZZA,Queens,"6353 108 STREET, 11375",Pizza,11/19/19,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,21,B,,Cycle Inspection / Initial Inspection,
41238222,COFFEE SHOP,Bronx,"3424 KOSSUTH AVENUE, 10467",American,7/12/18,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,9,A,7/12/18,Cycle Inspection / Re-inspection,
40707194,MICHAEL'S RESTAURANT,Queens,"3317 BROADWAY, 11106",Continental,4/13/17,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,34,C,,Cycle Inspection / Initial Inspection,
40961653,FLOR DE MAYO RESTAURANT,Manhattan,"2651 BROADWAY, 10025",Chinese/Cuban,2/14/18,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,10,A,2/14/18,Cycle Inspection / Re-inspection,
50033318,GREEN APPLE DELIGHT,Queens,"2912 CRESCENT ST, 11102","Juice, Smoothies, Fruit Salads",4/18/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,17,B,,Cycle Inspection / Initial Inspection,
41452462,CRYSTAL,Manhattan,"212 EAST   52 STREET, 10022",Japanese,7/13/18,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,11,A,7/13/18,Cycle Inspection / Re-inspection,
41290491,NARUTO RAMEN,Manhattan,"1596 3 AVENUE, 10128",Japanese,6/14/17,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,35,C,,Cycle Inspection / Initial Inspection,
41487602,THE CAFE AT BOB,Manhattan,"517 EAST  117 STREET, 10035",Café/Coffee/Tea,7/6/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,18,B,7/6/18,Cycle Inspection / Re-inspection,
50082270,PRINCESOS NY,Manhattan,"1506B SAINT NICHOLAS AVE, 10033",Bakery,9/25/18,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,15,B,,Pre-permit (Operational) / Initial Inspection,
50075844,EAST OCEAN BUFFET,Brooklyn,"1778 86TH ST, 11214",Chinese,9/13/19,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,52,C,,Cycle Inspection / Initial Inspection,
50037861,IMANI CARRIBEAN KITCHEN & BAR,Brooklyn,"271 ADELPHI ST, 11205",Caribbean,9/29/18,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,21,B,,Cycle Inspection / Initial Inspection,
50048604,FARMERS RESTAURANT,Brooklyn,"1692 86TH ST, 11214",Chinese,10/6/18,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,10,A,10/6/18,Cycle Inspection / Re-inspection,
41376019,DOUBLE HAPPY RESTAURANT,Brooklyn,"2238 BATH AVENUE, 11214",Chinese,11/27/19,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",N,11,A,11/27/19,Cycle Inspection / Initial Inspection,
50060766,AREPPAS,Manhattan,"954 3RD AVE, 10022","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/10/18,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,13,A,,Cycle Inspection / Initial Inspection,
50057272,11 HANOVER GREEK,Manhattan,"11 HANOVER SQ, 10005",Greek,3/5/18,09C,Food contact surface not properly maintained.,N,7,A,3/5/18,Cycle Inspection / Re-inspection,
50065198,SUPREME PIZZERIA,Queens,"23609 BRADDOCK AVE, 11426",Pizza,3/7/18,02B,Hot food item not held at or above 140º F.,Y,17,B,3/7/18,Cycle Inspection / Re-inspection,
40368271,CHERRY TAVERN,Manhattan,"441 EAST    6 STREET, 10009",American,4/4/19,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,46,C,,Cycle Inspection / Initial Inspection,
50064646,IMLI,Manhattan,"1136 1ST AVE, 10065",Indian,9/5/19,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,A,9/5/19,Cycle Inspection / Re-inspection,
50064343,SHANGHAI SOUP DUMPLING,Brooklyn,"6301 8TH AVE, 11220",Chinese,6/6/17,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,27,C,,Pre-permit (Operational) / Initial Inspection,
41477231,DINO,Brooklyn,"222 DEKALB AVENUE, 11205",Italian,2/28/19,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,31,C,,Cycle Inspection / Initial Inspection,
