Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1947,-10,-13,-17,-11,-9,2,-11,-12,-24,-27,-15,-24
1948,-19,-15,-22,-20,-15,-16,-24,-27,-23,-19,-30,-10
1949,-11,-18,-8,-18,-17,-29,-17,-19,-20,-21,-23,-22
1950,-24,-25,-21,-18,-17,-3,-1,-11,-16,-35,-37,-33
1951,-34,-32,-24,-34,-18,-6,-3,-9,-14,-14,-13,-6
1952,9,7,6,-11,-19,-22,-5,3,0,1,-6,-5
1953,-9,-7,-4,-6,-4,-1,-20,-4,-8,-11,-13,-12
1954,-25,-19,-12,-26,-32,-32,-28,-33,-28,-18,-21,-27
1955,-17,-20,-22,-20,-29,-16,-21,-4,-22,-23,-15,-29
1956,-22,-17,-19,-29,-31,-14,-3,-26,-8,-19,-5,-1
1957,-5,-2,0,8,24,21,-9,13,3,-4,2,5
1958,7,15,1,0,0,-18,6,-21,-10,0,-2,-17
1959,-9,-1,3,6,5,-10,6,-10,-22,-12,-18,-11
1960,-15,-16,-27,-15,-19,-26,-14,-7,2,7,-15,-3
1961,-3,9,-4,11,18,3,-8,-2,17,3,-2,-16
1962,-17,-10,-11,-14,-15,18,-9,-9,2,-13,-1,-15
1963,-14,-13,-16,-17,-5,12,5,34,26,-11,-15,-9
1964,-13,-18,-12,-33,-40,3,5,-20,-30,-31,-21,-32
1965,-14,3,-18,-12,-17,3,-8,13,-11,-7,-18,-8
1966,-13,-11,9,-3,-20,-3,7,-30,-12,-21,-5,-3
1967,3,-3,-13,-16,6,-11,-3,-5,-11,-14,-16,-12
1968,-22,-12,-7,-12,-23,-12,-16,-8,-31,18,11,5
1969,22,14,17,31,25,15,-10,3,13,23,10,19
1970,21,13,23,18,-5,-3,-1,-11,25,26,1,5
1971,9,-10,-9,4,2,-24,-10,11,5,3,-12,-4
1972,9,20,6,13,10,21,8,41,32,23,29,45
1973,43,19,23,35,40,20,19,6,26,30,21,-11
1974,3,-18,-13,-12,14,7,4,32,-5,9,10,11
1975,3,6,13,4,32,7,6,-22,3,-5,-3,-13
1976,-10,-1,-10,-18,-20,-9,8,-5,-6,-2,25,47
1977,54,33,23,27,38,29,34,30,-12,9,8,4
1978,-1,14,22,24,21,11,14,-20,11,5,14,14
1979,22,15,20,42,10,21,1,24,33,28,33,42
1980,39,42,54,53,49,17,44,36,30,21,38,33
1981,24,19,29,25,33,33,55,45,15,4,11,28
1982,28,15,-6,6,24,10,22,22,22,26,44,49
1983,50,45,40,54,68,30,16,42,51,22,12,22
1984,27,28,37,24,44,0,25,29,44,26,24,32
1985,36,20,35,28,26,31,9,31,27,22,15,16
1986,21,43,31,34,31,10,25,21,1,22,23,25
1987,44,35,31,38,30,56,64,31,37,42,44,42
1988,54,42,54,46,44,45,28,66,54,54,20,19
1989,20,22,29,31,11,3,36,46,46,36,29,40
1990,37,33,37,44,45,28,56,25,17,37,43,45
1991,27,47,24,49,39,61,50,44,58,30,28,44
1992,34,35,45,39,47,47,32,22,20,31,14,20
1993,32,24,32,33,25,29,44,25,27,31,28,14
1994,18,7,10,33,19,43,27,12,29,29,40,40
1995,27,39,34,20,12,34,55,36,22,34,34,26
1996,21,38,35,50,16,25,42,78,43,34,45,41
1997,25,19,27,19,28,57,27,37,54,59,71,66
1998,54,72,53,38,73,80,60,59,25,34,39,36
1999,36,28,38,10,20,37,39,29,41,35,20,16
2000,13,23,27,26,16,35,35,36,41,26,44,29
2001,30,39,34,43,50,53,56,28,52,39,44,43
2002,49,42,65,63,76,39,54,52,63,54,40,40
2003,56,59,53,47,50,41,40,46,50,52,39,49
2004,47,54,40,51,22,38,0,32,40,52,46,56
2005,54,47,54,43,48,52,50,51,57,57,43,52
2006,48,49,45,39,21,51,39,74,50,40,49,39
2007,56,47,46,42,64,54,57,45,53,32,32,20
2008,25,16,36,40,37,31,61,30,67,43,38,40
2009,42,33,46,50,64,63,77,63,58,52,72,64
2010,68,70,72,57,57,46,36,45,56,51,39,38
2011,41,41,39,44,41,43,73,75,41,39,49,29
2012,27,39,43,34,58,39,29,55,61,65,57,58
2013,54,46,52,41,41,59,48,65,86,53,52,52
2014,51,36,36,50,83,51,39,73,92,67,52,46
2015,48,61,58,48,55,56,55,60,52,91,72,76
2016,76,76,79,71,79,46,63,93,58,74,71,65
2017,66,77,81,69,93,50,70,77,55,73,52,45
2018,47,45,63,83,67,66,75,64,61,77,65,71
